Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Fabric & care (product.metafields.custom.fabric_care),Status
organic-short-sleeve-bodysuit,Organic Cotton Short-Sleeve Bodysuit,"<p>The everyday essential. Soft organic cotton, an envelope neckline that stretches over little heads, and three nickel-free snaps for quick changes.</p>",BabyAttire,Bodysuit,"new, badge:Organic cotton",TRUE,Size,Newborn,Color,Oat,18.00,,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,1,Organic Cotton Short-Sleeve Bodysuit,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,"100% organic cotton rib.
Machine wash cold with like colors. Tumble dry low. Do not bleach.",active
organic-short-sleeve-bodysuit,,,,,,,,0-3M,,Oat,18.00,,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,2,Organic Cotton Short-Sleeve Bodysuit,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,3-6M,,Oat,18.00,,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,3,Organic Cotton Short-Sleeve Bodysuit,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,6-12M,,Oat,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,12-18M,,Oat,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-oat.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,Newborn,,Blush,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,0-3M,,Blush,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,3-6M,,Blush,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,6-12M,,Blush,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,12-18M,,Blush,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-blush.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,Newborn,,Sage,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,0-3M,,Sage,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,3-6M,,Sage,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,6-12M,,Sage,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,,
organic-short-sleeve-bodysuit,,,,,,,,12-18M,,Sage,18.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/organic-short-sleeve-bodysuit-sage.jpg,,
long-sleeve-envelope-bodysuit,Long-Sleeve Envelope-Neck Bodysuit,"<p>Long sleeves for cooler days, with fold-over mitten cuffs on newborn to 3-6M sizes to keep tiny nails from scratching.</p>",BabyAttire,Bodysuit,badge:Organic cotton,TRUE,Size,Newborn,Color,Oat,20.00,,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,1,Long-Sleeve Envelope-Neck Bodysuit,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,"100% organic cotton jersey.
Machine wash cold. Tumble dry low.",active
long-sleeve-envelope-bodysuit,,,,,,,,0-3M,,Oat,20.00,,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-dusty-blue.jpg,2,Long-Sleeve Envelope-Neck Bodysuit,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,,
long-sleeve-envelope-bodysuit,,,,,,,,3-6M,,Oat,20.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,,
long-sleeve-envelope-bodysuit,,,,,,,,6-12M,,Oat,20.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,,
long-sleeve-envelope-bodysuit,,,,,,,,12-18M,,Oat,20.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,,
long-sleeve-envelope-bodysuit,,,,,,,,18-24M,,Oat,20.00,,deny,manual,TRUE,TRUE,,,,https://raw.githubusercontent.com/SheltonChen2017/BabyAttire/main/setup/images/long-sleeve-envelope-bodysuit-oat.jpg,,
